Header_Length,Protocol Type,Time_To_Live,Rate,syn_flag_number,rst_flag_number,ack_flag_number,ack_count,syn_count,rst_count,Telnet,TCP,UDP,DHCP,ARP,IPv,LLC,Tot sum,Min,Max,AVG,Tot size,IAT,Label
8.0,17,64.0,3.313624988,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.402146792,0
7.2,17,57.6,2.036911266,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.502268505,0
8.0,17,64.0,2.488768717,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502282715,0
8.0,17,64.0,2.488675833,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502366209,0
7.2,17,57.6,2.272973058,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.439953017,0
8.0,17,64.0,2.487626674,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.402055478,0
8.0,17,64.0,3.319614468,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.401619291,0
8.0,17,64.0,2.485546475,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.402463603,0
8.0,17,64.0,1.990474793,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502419806,0
7.2,17,57.6,3.314781439,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.401825809,0
8.0,17,64.0,3.309558684,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.402571011,0
8.0,17,64.0,2.691964075,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.471772695,0
7.2,17,57.6,2.106829722,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.502293611,0
8.0,17,64.0,1.988367236,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502930498,0
8.0,17,62.8,3.320316641,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.8,0.0,1.0,1.0,2916,90,342,291.6,291.6,0.501481295,0
7.2,17,57.6,2.486159662,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.502626491,0
7.2,17,57.6,2.899907416,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.344969702,0
8.0,17,64.0,2.489005464,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.401947689,0
8.0,17,64.0,2.48801019,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.401927614,0
7.2,17,57.6,1.991574834,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.595274687,0
8.0,17,64.0,2.487554677,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.402089906,0
8.0,17,64.0,2.487805949,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502135015,0
8.0,17,64.0,2.487711955,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.402079701,0
8.0,17,64.0,2.485399484,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.402448392,0
8.0,17,64.0,1.661132336,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.602014899,0
8.0,17,64.0,2.490379572,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.401679611,0
8.0,17,64.0,2.484731914,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502841592,0
8.0,17,64.0,3.317386671,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502115107,0
8.0,17,64.0,1.992235026,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.602258301,0
8.0,17,64.0,1.992286695,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.501996088,0
8.0,17,64.0,3.315992702,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.401899815,0
7.2,17,57.6,2.904484361,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.344295192,0
8.0,17,64.0,2.489266927,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.40197041,0
8.0,17,64.0,2.489379654,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.401878405,0
8.0,17,64.0,1.661036817,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.602151513,0
8.0,17,64.0,2.484506575,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.40264051,0
8.0,17,64.0,3.311454631,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.302085805,0
7.2,17,57.6,2.157614619,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.463722014,0
7.2,17,57.6,2.794270894,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.358014894,0
8.0,17,64.0,1.991242586,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502275801,0
8.0,17,64.0,2.488365628,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502228999,0
8.0,17,64.0,1.990153865,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502473712,0
8.0,17,64.0,2.487273366,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.50239718,0
8.0,17,64.0,1.991254403,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502304482,0
8.0,17,64.0,1.990681212,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502341294,0
8.0,17,64.0,2.482078138,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.490764403,0
7.2,17,57.6,2.589095242,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.8,0.1,0.9,0.9,2868,42,342,286.8,286.8,0.38633461,0
8.0,17,64.0,2.488621493,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502211285,0
8.0,17,64.0,2.4883767,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502175903,0
8.0,17,64.0,1.660733098,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.602326298,0
7.2,17,57.6,2.723387987,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.467460299,0
8.0,17,64.0,2.488287092,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.402061701,0
8.0,17,64.0,3.315537654,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.355389214,0
32.0,6,96.4,372.4396849,0.0,0.0,1.0,10,0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,11860,66,2866,1186.0,1186.0,0.002715397,0
7.2,17,57.6,2.439189124,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.5103899,0
8.0,17,64.0,2.491013048,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.601764202,0
8.0,17,64.0,2.488624446,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.401829505,0
8.0,17,64.0,1.990999474,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.60254519,0
8.0,17,64.0,2.486322218,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.402301097,0
8.0,17,64.0,1.992379534,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.602329111,0
4.0,1,64.0,3.394909155,0.0,0.0,0.0,0,0,0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,2200,98,342,220.0,220.0,0.294562793,0
8.0,17,64.0,1.992641538,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.501924109,0
8.0,17,64.0,1.991671296,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.593623304,0
8.0,17,64.0,1.991230958,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.602491713,0
8.0,17,64.0,2.488279564,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502331901,0
8.0,17,64.0,2.488339055,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.40187521,0
8.0,17,64.0,1.988398908,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502994585,0
8.0,17,64.0,2.986841947,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3078,342,342,342.0,342.0,0.334893783,0
8.0,17,64.0,2.488329755,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.402062011,0
8.0,17,64.0,2.486955252,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.402164888,0
8.0,17,64.0,1.660838183,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.602170515,0
6.4,17,51.2,2.51558663,0.0,0.0,0.0,0,0,0,0.0,0.0,0.8,0.8,0.2,0.8,0.8,2820,42,342,282.0,282.0,0.397812796,0
7.2,17,57.6,3.027656293,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.330300903,0
8.0,17,64.0,3.31798422,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.401815796,0
8.0,17,64.0,1.991484812,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502143002,0
8.0,17,64.0,1.994874771,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.601796794,0
8.0,17,64.0,1.991160439,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.602629805,0
6.4,17,51.2,2.65311454,0.0,0.0,0.0,0,0,0,0.0,0.0,0.8,0.8,0.2,0.8,0.8,2820,42,342,282.0,282.0,0.452090597,0
8.0,17,64.0,2.489372267,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.401798606,0
8.0,17,64.0,3.315145354,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.402005506,0
8.0,17,64.0,1.991286072,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.602557611,0
8.0,17,64.0,2.487267023,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.402052093,0
6.4,17,64.0,2.907610677,0.0,0.0,0.0,0,0,0,0.0,0.0,0.8,0.8,0.0,1.0,1.0,2932,98,342,293.2,293.2,0.3442137,0
8.0,17,62.6,2.093890452,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.8,0.0,1.0,1.0,2916,90,342,291.6,291.6,0.501902294,0
4.0,17,57.6,3.946309616,0.0,0.0,0.0,0,0,0,0.0,0.0,0.5,0.5,0.1,0.9,0.9,2144,42,342,214.4,214.4,0.253405595,0
8.0,17,64.0,1.742039149,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.574204397,0
6.4,17,64.0,2.398690687,0.0,0.0,0.0,0,0,0,0.0,0.0,0.8,0.8,0.0,1.0,1.0,2932,98,342,293.2,293.2,0.416894507,0
6.222222222,17,49.77777778,3.597290478,0.0,0.0,0.0,0,0,0,0.0,0.0,0.777777778,0.777777778,0.222222222,0.777777778,0.777777778,2478,42,342,275.3333333,275.3333333,0.313861238,0
8.0,17,64.0,3.320527192,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.401539016,0
8.0,17,64.0,3.316740815,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.401959205,0
7.2,17,57.6,2.620080997,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.381834197,0
8.0,17,64.0,3.318541549,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.301456809,0
6.4,17,51.2,2.335643768,0.0,0.0,0.0,0,0,0,0.0,0.0,0.8,0.8,0.2,0.8,0.8,2820,42,342,282.0,282.0,0.528420496,0
7.2,17,57.6,3.898761866,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.356875896,0
8.0,17,64.0,2.488016537,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.402119684,0
7.2,17,57.6,2.386592714,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.519423199,0
8.0,17,64.0,1.991112421,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502371597,0
8.0,17,64.0,2.486926793,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.402182698,0
5.6,17,43.9,5.028774278,0.0,0.0,0.0,0,0,0,0.0,0.0,0.7,0.5,0.3,0.7,0.7,2016,42,342,201.6,201.6,0.202445602,0
8.0,17,64.0,1.197069886,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.835440612,0
8.0,17,64.0,2.487138264,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.402646899,0
8.0,17,64.0,2.487384584,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502399588,0
2.4,1,64.0,6.547026376,0.0,0.0,0.0,0,0,0,0.0,0.0,0.3,0.3,0.0,1.0,1.0,1712,98,342,171.2,171.2,0.152745104,0
8.0,17,64.0,2.489278746,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502033901,0
8.0,17,64.0,2.829347339,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.353455806,0
8.0,17,64.0,2.487666806,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502314115,0
8.0,17,64.0,2.896325152,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.345272803,0
7.2,17,57.6,2.33192042,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.529045486,0
8.0,17,64.0,1.99150221,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502197194,0
8.0,17,64.0,2.488860427,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502198005,0
7.2,17,57.6,2.567517322,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.489792609,0
8.0,17,64.0,1.991043895,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502249098,0
8.0,17,64.0,1.992790839,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.501865602,0
7.2,17,57.6,3.250743765,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.8,0.1,0.9,0.9,2868,42,342,286.8,286.8,0.307851291,0
8.0,17,64.0,3.318268505,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.501470304,0
8.0,17,64.0,1.661673358,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.70217731,0
8.0,17,64.0,3.307010575,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.402808905,0
8.0,17,64.0,1.991813641,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502165294,0
6.4,17,51.2,2.270814589,0.0,0.0,0.0,0,0,0,0.0,0.0,0.8,0.8,0.2,0.8,0.8,2820,42,342,282.0,282.0,0.540705085,0
8.0,17,64.0,2.617566656,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.582444191,0
8.0,17,64.0,3.314838811,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.402163291,0
8.0,17,64.0,2.488181697,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.401911521,0
8.0,17,64.0,2.488612191,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.401835895,0
7.2,17,57.6,2.845581666,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.351621103,0
8.0,17,64.0,1.992645893,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.501970696,0
8.0,17,64.0,2.486064467,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.402342296,0
7.2,17,57.6,3.778679826,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.264642692,0
7.2,17,57.6,1.837360522,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.544261384,0
6.4,17,51.2,2.295210412,0.0,0.0,0.0,0,0,0,0.0,0.0,0.8,0.8,0.2,0.8,0.8,2820,42,342,282.0,282.0,0.502102399,0
8.0,17,64.0,3.313247273,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.423397112,0
8.0,17,64.0,1.991438763,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.502348804,0
8.0,17,64.0,2.904111513,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3420,342,342,342.0,342.0,0.544764185,0
7.2,17,57.6,2.755477626,0.0,0.0,0.0,0,0,0,0.0,0.0,0.9,0.9,0.1,0.9,0.9,3120,42,342,312.0,312.0,0.584289384,0
6.4,17,51.2,4.001855184,0.0,0.0,0.0,0,0,0,0.0,0.0,0.8,0.8,0.2,0.8,0.8,2820,42,342,282.0,282.0,0.250092292,0
